الملف (قبل النقل)	السطر	قبل	بعد	السبب	المرات
المجلد-الثامن/الباب-الثامن/ف02-أ-إظهار-العلم-ومخاطبة-الكبير.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثامن/الباب-الثامن/ف03-أ-المدخل-وحوار-اللقاء-الأول.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثامن/الباب-الثامن/ف04-أ-المدخل-ومجلس-القسم.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثامن/الباب-الثامن/ف04-ج-التطبيق-والتقويم.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثامن/الباب-الثامن/ف05-أ-المدخل-والتهنئة-والتعزية.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثامن/الباب-الثامن/ف05-ج-التطبيق-والتقويم.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثامن/الباب-التاسع/00-فاتحة-الباب-التاسع.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثامن/الباب-التاسع/ف01-أ-المدخل-وبناء-الخطبة.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثامن/الباب-التاسع/ف01-ج-التطبيق-والتقويم.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثامن/الباب-التاسع/ف02-أ-المدخل-وبناء-المحاضرة.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثامن/الباب-التاسع/ف02-ج-التطبيق-والتقويم.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثامن/الباب-التاسع/ف03-أ-المدخل-والدرس-الأول.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثامن/الباب-التاسع/ف03-ج-التطبيق-والتقويم.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثامن/الباب-التاسع/ف04-أ-المدخل-والدرس-الأول.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثامن/الباب-التاسع/ف04-ج-التطبيق-والتقويم.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثامن/الباب-التاسع/ف05-أ-العطل-وضيق-الوقت.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثامن/الباب-التاسع/ف05-ب-الأسئلة-والتطبيق-الختامي.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-التاسع/الباب-العاشر/00-فاتحة-الباب-العاشر.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-التاسع/الباب-العاشر/ف01-أ-بناء-الجواب.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-التاسع/الباب-العاشر/ف01-ب-الأسئلة-والمحاكاة.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-التاسع/الباب-العاشر/ف02-أ-الدرس-التجريبي.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-التاسع/الباب-العاشر/ف02-ج-التطبيق-والتقويم.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-التاسع/الباب-العاشر/ف03-أ-إدارة-الاجتماع.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-التاسع/الباب-العاشر/ف03-ج-إدارة-الاجتماع.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-التاسع/الباب-العاشر/ف04-أ-المدير-وموظفوه.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-التاسع/الباب-العاشر/ف04-ج-التطبيق-والتقويم.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-التاسع/الباب-العاشر/ف05-أ-الاعتذار-والاعتراض.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-التاسع/الباب-العاشر/ف05-ب-الرفض-والتطبيق-الختامي.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الحادي-عشر/00-فاتحة-الباب-الحادي-عشر.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الحادي-عشر/ف01-أ-المدخل-والدرس-الأول.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الحادي-عشر/ف01-ج-التطبيق-والتقويم.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الحادي-عشر/ف02-أ-المدخل-والدرس-الأول.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الحادي-عشر/ف02-ج-التطبيق-والتقويم.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الحادي-عشر/ف03-أ-المدخل-والدرس-الأول.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الحادي-عشر/ف03-ج-التطبيق-والتقويم.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الحادي-عشر/ف04-أ-المدخل-والدرس-الأول.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الحادي-عشر/ف04-ج-التطبيق-والتقويم.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الثاني-عشر/00-فاتحة-الباب-الثاني-عشر.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الثاني-عشر/ف01-أ-المدخل-والألقاب.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الثاني-عشر/ف01-ج-الزيارة-الرسمية-والتقويم.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الثاني-عشر/ف02-أ-المدخل-والمجاملة.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الثاني-عشر/ف02-د-بنك-المواقف-والتقويم.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الثاني-عشر/ف03-أ-المدخل-وعرض-الموقف.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الثاني-عشر/ف03-ج-التفاوض-والتطبيق-والتقويم.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الثالث-عشر/00-فاتحة-الباب-الثالث-عشر.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الثالث-عشر/ف01-أ-المدخل-وسلم-الارتجال.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الثالث-عشر/ف02-أ-المدخل-والمحاكاة-الأولى.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-أ-الملف-الصوتي-ومشروع-التخرج.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-ج-التطبيق-والتقويم-والخاتمة.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف01-أ-اللحن-في-القرآن.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	7
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف01-ب-اللحن-في-الحديث-والأذكار.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	11
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف02-الخطأ-في-السلام-والبسملة-والحمدلة.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	15
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف03-أخطاء-النطق-الأصوات-الحرجة.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	20
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف04-أ-الأخطاء-النحوية-والصرفية-والمعجمية-والتركيبية.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	16
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف04-ب-الأخطاء-الصرفية-والمعجمية-والتركيبية.md	—	المستوى ن (بالأرقام أو بالعدد اللفظي)	المستوى ن+١	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	16
المجلد-الحادي-عشر/الخواتيم/المسرد.md	27	مرحلة من المستويات صفر إلى اثني عشر في منهج الكتاب.	مرحلةٌ من المستويات الثلاثة عشر في منهج الكتاب، من الأول إلى الثالث عشر، ورقم كل مستوى رقم بابه.	المستويات ١–١٣: رقم المستوى رقم الباب (الدليل ١١٢ج)	1
المجلد-الثالث/الباب-الثالث/ف03-ب-النسبة-والجموع-والمعتل.md	500	(انظر ٠٣-المستويات-والمخرجات و٠٤-نظام-التقييم)	(انظر أهداف الباب في فاتحته، وسلّم التقويم في «بنك الاختبارات ودليل المعلّم»)	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-الثالث/الباب-الثالث/ف04-ب-الإضافة.md	402	(انظر ٠٣-المستويات-والمخرجات و٠٤-نظام-التقييم)	(انظر أهداف الباب في فاتحته، وسلّم التقويم في «بنك الاختبارات ودليل المعلّم»)	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-الثالث/الباب-الثالث/ف05-ج-التطبيق-والتقويم.md	309	(انظر ٠٣-المستويات-والمخرجات و٠٤-نظام-التقييم)	(انظر أهداف الباب في فاتحته، وسلّم التقويم في «بنك الاختبارات ودليل المعلّم»)	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-الثالث/الباب-الثالث/ف08-ج-التطبيق-والتقويم.md	260	(انظر ٠٣-المستويات-والمخرجات و٠٤-نظام-التقييم)	(انظر أهداف الباب في فاتحته، وسلّم التقويم في «بنك الاختبارات ودليل المعلّم»)	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-الثالث/الباب-الثالث/ف09-ب-متى-تطيل.md	390	(انظر ٠٣-المستويات-والمخرجات و٠٤-نظام-التقييم)	(انظر أهداف الباب في فاتحته، وسلّم التقويم في «بنك الاختبارات ودليل المعلّم»)	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-الخامس/الباب-الخامس/ف05-ج-التطبيق-والتقويم.md	398	(٠٣-المستويات والمخرجات)	(انظر أهداف الباب في فاتحته)	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-الثامن/الباب-التاسع/ف03-ج-التطبيق-والتقويم.md	243	(انظر ٠٣-المستويات-والمخرجات)	(انظر أهداف الباب في فاتحته)	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-الثامن/الباب-التاسع/ف05-ب-الأسئلة-والتطبيق-الختامي.md	377	(انظر ٠٣-المستويات-والمخرجات)	(انظر أهداف الباب في فاتحته)	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-التاسع/الباب-العاشر/ف05-ب-الرفض-والتطبيق-الختامي.md	324	(انظر ٠٣-المستويات-والمخرجات)	(انظر أهداف الباب في فاتحته)	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-العاشر/الباب-الثاني-عشر/ف02-د-بنك-المواقف-والتقويم.md	175	على سلّم التقييم المعتمد (`04-نظام-التقييم.md`)	على سلّم التقييم المعتمد (في «بنك الاختبارات ودليل المعلّم»)	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-العاشر/الباب-الثاني-عشر/ف02-د-بنك-المواقف-والتقويم.md	176	 في `03-المستويات-والمخرجات.md`:	:	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-العاشر/الباب-الثاني-عشر/ف03-ج-التفاوض-والتطبيق-والتقويم.md	273	على سلّم التقييم المعتمد (`04-نظام-التقييم.md`)	على سلّم التقييم المعتمد (في «بنك الاختبارات ودليل المعلّم»)	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-العاشر/الباب-الثاني-عشر/ف03-ج-التفاوض-والتطبيق-والتقويم.md	274	 في `03-المستويات-والمخرجات.md`:	:	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-العاشر/الباب-الثالث-عشر/ف01-ج-التطبيق-والتقويم.md	188	(انظر ٠٣-المستويات-والمخرجات)	(انظر أهداف الباب في فاتحته)	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-أ-الملف-الصوتي-ومشروع-التخرج.md	148	(انظر ٠٣-المستويات-والمخرجات)	(انظر أهداف الباب في فاتحته)	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-أ-الملف-الصوتي-ومشروع-التخرج.md	124	(انظر ٠٤-نظام-التقييم)	(انظر سلّم التقويم في «بنك الاختبارات ودليل المعلّم»)	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-ج-التطبيق-والتقويم-والخاتمة.md	248	(انظر ٠٣-المستويات-والمخرجات)	(انظر أهداف الباب في فاتحته)	لا أسماء ملفاتِ التخطيط في النص المطبوع؛ الإحالة إلى ما في يد القارئ	1
المجلد-الأول/الافتتاحية/05-البيان-عند-علماء-العربية.md	78	وهو في المرجع، المجلد الثامن.	وهو في «مرجع المتكلّم العربي»، المجلد الحادي عشر.	البنية النهائية: أحد عشر مجلدًا (الدليل ١١٢ج–١١٢د)	1
المجلد-الأول/الافتتاحية/09-ما-رأيته.md	7	حتى صارت مشروعًا في ثمانية مجلدات.	حتى صارت مشروعًا في أحد عشر مجلدًا.	البنية النهائية: أحد عشر مجلدًا (الدليل ١١٢ج–١١٢د)	1
المجلد-الرابع/الباب-الرابع/00-فاتحة-الباب-الرابع.md	7	تعلمت في الجزء الأول كيف تحكم على الكلام	تعلمت في الأبواب الثلاثة الأولى (في المجلدات الأول إلى الثالث) كيف تحكم على الكلام	إشارة إلى «الجزء الأول» من البنية القديمة (الموضع البنيوي الوحيد من المواضع الخمسة والأربعين)	1
المجلد-الحادي-عشر/الملاحق/ملحق-هـ-النماذج-الكاملة-٢.md	189	ما تعلّمه الحلقة الأولى من الملحق د	ما تعلّمه الحلقة الأولى من «سكريبتات الحلقات» (الكتاب المرافق)	نصوص الحلقات كتابٌ مرافق	1
المجلد-الحادي-عشر/الملاحق/ملحق-هـ-النماذج-الكاملة.md	1	# ملحق هـ: نماذج خطب ومحاضرات ومداخلات كاملة	# ملحق د: نماذج خطب ومحاضرات ومداخلات كاملة	حروف الملاحق بلا فجوة بعد خروج د وز إلى الكتب المرافقة (الدليل ١١٢د)	1
المجلد-الثاني/الملاحق/ملحق-و-برنامج-النطق.md	1	# ملحق و: برنامج النطق اليومي في ثلاثين يومًا	# ملحق الباب الثاني: برنامج النطق اليومي في ثلاثين يومًا	حروف الملاحق بلا فجوة بعد خروج د وز إلى الكتب المرافقة (الدليل ١١٢د)	1
المجلد-الثاني/الملاحق/ملحق-و-برنامج-النطق-٢.md	1	*(تتمة ملحق و: برنامج النطق اليومي في ثلاثين يومًا. الأيام ١٦–٣٠. راجع الملف الأول	*(تتمة ملحق الباب الثاني: برنامج النطق اليومي في ثلاثين يومًا. الأيام ١٦–٣٠. راجع القسم الأول	حروف الملاحق بلا فجوة بعد خروج د وز إلى الكتب المرافقة (الدليل ١١٢د)؛ ولا لغة ملفات	1
المجلد-الحادي-عشر/الملاحق/ملحق-هـ-النماذج-الكاملة.md	—	(اسم الملف)	المجلد-الحادي-عشر/الملاحق/ملحق-د-النماذج-الكاملة.md	حروف الملاحق بلا فجوة بعد خروج د وز إلى الكتب المرافقة (الدليل ١١٢د)	1
المجلد-الحادي-عشر/الملاحق/ملحق-هـ-النماذج-الكاملة-٢.md	—	(اسم الملف)	المجلد-الحادي-عشر/الملاحق/ملحق-د-النماذج-الكاملة-٢.md	حروف الملاحق بلا فجوة بعد خروج د وز إلى الكتب المرافقة (الدليل ١١٢د)	1
المجلد-الثاني/الملاحق/ملحق-و-برنامج-النطق.md	—	(اسم الملف)	المجلد-الثاني/الملاحق/ملحق-الباب-الثاني-برنامج-النطق.md	حروف الملاحق بلا فجوة بعد خروج د وز إلى الكتب المرافقة (الدليل ١١٢د)	1
المجلد-الثاني/الملاحق/ملحق-و-برنامج-النطق-٢.md	—	(اسم الملف)	المجلد-الثاني/الملاحق/ملحق-الباب-الثاني-برنامج-النطق-٢.md	حروف الملاحق بلا فجوة بعد خروج د وز إلى الكتب المرافقة (الدليل ١١٢د)	1
المجلد-الثامن/الباب-التاسع/ف01-ب-العبارة-والصوت-والنموذج.md	278	ويقابلها في بنك الأخطاء الصنفان	ويقابلها في بنك الأخطاء (المجلد الحادي عشر) الصنفان	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الأول/الباب-الأول/ف02-ب-الدرس-الثاني.md	274	| الباب الثالث عشر (الملكة، المجلد العاشر)، وبنك الأخطاء |	| الباب الثالث عشر (الملكة، المجلد العاشر)، وبنك الأخطاء (المجلد الحادي عشر) |	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف08-الخروج-عن-الموضوع-والتكلف.md	180	«الأولى أن تسأل من هو أعلم مني بهذا المرجع.»	«الأولى أن تسأل من هو أعلم مني بهذا الباب.»	مراجعة دلالية: «الباب» هنا في كلام متكلّم بمعنى الموضوع، لا باب السلسلة؛ يُعاد لفظه	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف06-الصوت-والسرعة-وترتيب-الأفكار.md	11	من أخطاء هذا المرجع الثلاثي،	من أخطاء هذا الباب الثلاثي،	مراجعة دلالية: «الباب الثلاثي» موضوع الفصل ذو الأقسام الثلاثة؛ يُعاد لفظه	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/00-فاتحة-بنك-الأخطاء.md	49	5. يستعمل هذا المرجع استعمال المرجع لا الدرس	5. يستعمل بنك الأخطاء استعمال المرجع لا الدرس	مراجعة دلالية: رفع التكرار	1
